ZIP Code,Type,City,County,Area Codes
ZIP Code 74062,Standard,Ripley,Payne,405ÿ/ÿ918
ZIP Code 74063,Standard,Sand Springs,Tulsa,918
ZIP Code 74066,Standard,Sapulpa,Creek,918
ZIP Code 74067,P.O. Box,Sapulpa,Creek,918
ZIP Code 74068,P.O. Box,Shamrock,Creek,918
ZIP Code 74070,Standard,Skiatook,Tulsa,918
ZIP Code 74071,P.O. Box,Slick,Creek,918
ZIP Code 74072,Standard,S Coffeyville,Nowata,918
ZIP Code 74073,Standard,Sperry,Tulsa,918
ZIP Code 74074,Standard,Stillwater,Payne,405
ZIP Code 74075,Standard,Stillwater,Payne,405
ZIP Code 74076,P.O. Box,Stillwater,Payne,405
ZIP Code 74077,Unique,Stillwater,Payne,405
ZIP Code 74078,Unique,Stillwater,Payne,405
ZIP Code 74079,Standard,Stroud,Lincoln,918
ZIP Code 74080,Standard,Talala,Rogers,918
ZIP Code 74081,Standard,Terlton,Pawnee,918
ZIP Code 74082,P.O. Box,Vera,Washington,918
ZIP Code 74083,Standard,Wann,Nowata,918
ZIP Code 74084,Standard,Wynona,Osage,918
ZIP Code 74085,Standard,Yale,Payne,918
ZIP Code 74102,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74103,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74104,Standard,Tulsa,Tulsa,918
ZIP Code 74105,Standard,Tulsa,Tulsa,918
ZIP Code 74106,Standard,Tulsa,Tulsa,918
ZIP Code 74107,Standard,Tulsa,Tulsa,918
ZIP Code 74108,Standard,Tulsa,Tulsa,918
ZIP Code 74110,Standard,Tulsa,Tulsa,918
ZIP Code 74112,Standard,Tulsa,Tulsa,918
ZIP Code 74114,Standard,Tulsa,Tulsa,918
ZIP Code 74115,Standard,Tulsa,Tulsa,918
ZIP Code 74116,Standard,Tulsa,Tulsa,918
ZIP Code 74117,Standard,Tulsa,Tulsa,918
ZIP Code 74119,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74120,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74121,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74126,Standard,Tulsa,Tulsa,918
ZIP Code 74127,Standard,Tulsa,Tulsa,918
ZIP Code 74128,Standard,Tulsa,Tulsa,918
ZIP Code 74129,Standard,Tulsa,Tulsa,918
ZIP Code 74130,Standard,Tulsa,Tulsa,918
